D:\Anaconda\python.exe D:/home/zeewei/projects/77GRadar/model/rnn/rnn_train.py
0000 	 train_loss:0.27029065787792206 	 test_loss: 0.19178520143032074 	 test_min_loss: 0.19178520143032074 	 difference: -0.07850545644760132 	  com_ac0 	 relative_ac0
0785 	 train_loss:0.18484918637709183 	 test_loss: 0.18444286286830902 	 test_min_loss: 0.14078587293624878 	 difference: -0.00040632350878280765 	  com_ac0 	 relative_ac0
0790 	 train_loss:0.18472388115796176 	 test_loss: 0.18466068804264069 	 test_min_loss: 0.14078587293624878 	 difference: -6.319311532107519e-05 	  com_ac0 	 relative_ac0
0795 	 train_loss:0.184726129878651 	 test_loss: 0.18437936902046204 	 test_min_loss: 0.14078587293624878 	 difference: -0.00034676085818896585 	  com_ac0 	 relative_ac0
0800 	 train_loss:0.1846372132951563 	 test_loss: 0.18420739471912384 	 test_min_loss: 0.14078587293624878 	 difference: -0.0004298185760324702 	  com_ac0 	 relative_ac0
0805 	 train_loss:0.18466782569885254 	 test_loss: 0.18436625599861145 	 test_min_loss: 0.14078587293624878 	 difference: -0.00030156970024108887 	  com_ac0 	 relative_ac0
0810 	 train_loss:0.18463620408014816 	 test_loss: 0.18438999354839325 	 test_min_loss: 0.14078587293624878 	 difference: -0.0002462105317549146 	  com_ac0 	 relative_ac0
0815 	 train_loss:0.1846889921210029 	 test_loss: 0.18460892140865326 	 test_min_loss: 0.14078587293624878 	 difference: -8.007071234963914e-05 	  com_ac0 	 relative_ac0
0820 	 train_loss:0.18467412211678244 	 test_loss: 0.18429580330848694 	 test_min_loss: 0.14078587293624878 	 difference: -0.00037831880829550246 	  com_ac0 	 relative_ac0
0825 	 train_loss:0.1847474439577623 	 test_loss: 0.18433424830436707 	 test_min_loss: 0.14078587293624878 	 difference: -0.0004131956533952319 	  com_ac0 	 relative_ac0
0830 	 train_loss:0.1848442188718102 	 test_loss: 0.18426509201526642 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005791268565437935 	  com_ac0 	 relative_ac0
0835 	 train_loss:0.18462007154117932 	 test_loss: 0.18459533154964447 	 test_min_loss: 0.14078587293624878 	 difference: -2.473999153485007e-05 	  com_ac0 	 relative_ac0
0840 	 train_loss:0.18467277423901993 	 test_loss: 0.184418722987175 	 test_min_loss: 0.14078587293624878 	 difference: -0.00025405125184493893 	  com_ac0 	 relative_ac0
0845 	 train_loss:0.18475957621227612 	 test_loss: 0.1843540072441101 	 test_min_loss: 0.14078587293624878 	 difference: -0.0004055689681660146 	  com_ac0 	 relative_ac0
0850 	 train_loss:0.18465505946766247 	 test_loss: 0.1843251883983612 	 test_min_loss: 0.14078587293624878 	 difference: -0.0003298710693012685 	  com_ac0 	 relative_ac0
0855 	 train_loss:0.1847101477059451 	 test_loss: 0.18444503843784332 	 test_min_loss: 0.14078587293624878 	 difference: -0.0002651092681017764 	  com_ac0 	 relative_ac0
0860 	 train_loss:0.18459538438103415 	 test_loss: 0.1845330148935318 	 test_min_loss: 0.14078587293624878 	 difference: -6.236948750235061e-05 	  com_ac0 	 relative_ac0
0865 	 train_loss:0.18471143462441184 	 test_loss: 0.1842299997806549 	 test_min_loss: 0.14078587293624878 	 difference: -0.00048143484375692824 	  com_ac0 	 relative_ac0
0870 	 train_loss:0.18460128253156488 	 test_loss: 0.1843639761209488 	 test_min_loss: 0.14078587293624878 	 difference: -0.00023730641061608937 	  com_ac0 	 relative_ac0
0875 	 train_loss:0.18462089516899802 	 test_loss: 0.18436668813228607 	 test_min_loss: 0.14078587293624878 	 difference: -0.00025420703671194533 	  com_ac0 	 relative_ac0
0880 	 train_loss:0.18459716710177335 	 test_loss: 0.1844174861907959 	 test_min_loss: 0.14078587293624878 	 difference: -0.00017968091097744776 	  com_ac0 	 relative_ac0
0885 	 train_loss:0.1847494380040602 	 test_loss: 0.18435828387737274 	 test_min_loss: 0.14078587293624878 	 difference: -0.00039115412668747074 	  com_ac0 	 relative_ac0
0890 	 train_loss:0.18471687083894556 	 test_loss: 0.18430660665035248 	 test_min_loss: 0.14078587293624878 	 difference: -0.0004102641885930791 	  com_ac0 	 relative_ac0
0895 	 train_loss:0.18465051325884732 	 test_loss: 0.18436841666698456 	 test_min_loss: 0.14078587293624878 	 difference: -0.0002820965918627627 	  com_ac0 	 relative_ac0
0900 	 train_loss:0.1845226071097634 	 test_loss: 0.18438518047332764 	 test_min_loss: 0.14078587293624878 	 difference: -0.00013742663643576125 	  com_ac0 	 relative_ac0
0905 	 train_loss:0.18480125340548428 	 test_loss: 0.1843043565750122 	 test_min_loss: 0.14078587293624878 	 difference: -0.0004968968304720767 	  com_ac0 	 relative_ac0
0910 	 train_loss:0.1845600442452864 	 test_loss: 0.18458525836467743 	 test_min_loss: 0.14078587293624878 	 difference: 2.5214119391020473e-05 	  com_ac0 	 relative_ac0
0915 	 train_loss:0.1848200559616089 	 test_loss: 0.18412011861801147 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006999373435974121 	  com_ac0 	 relative_ac0
0920 	 train_loss:0.1858267526734959 	 test_loss: 0.1842528134584427 	 test_min_loss: 0.14078587293624878 	 difference: -0.0015739392150532217 	  com_ac0 	 relative_ac0
0925 	 train_loss:0.18456678634340112 	 test_loss: 0.1842930018901825 	 test_min_loss: 0.14078587293624878 	 difference: -0.00027378445321862843 	  com_ac0 	 relative_ac0
0930 	 train_loss:0.18467223779721695 	 test_loss: 0.18423303961753845 	 test_min_loss: 0.14078587293624878 	 difference: -0.00043919817967849606 	  com_ac0 	 relative_ac0
0935 	 train_loss:0.18467364392497324 	 test_loss: 0.18425589799880981 	 test_min_loss: 0.14078587293624878 	 difference: -0.0004177459261634209 	  com_ac0 	 relative_ac0
0940 	 train_loss:0.18454794043844397 	 test_loss: 0.18427684903144836 	 test_min_loss: 0.14078587293624878 	 difference: -0.00027109140699560497 	  com_ac0 	 relative_ac0
0945 	 train_loss:0.1845328374342485 	 test_loss: 0.18436960875988007 	 test_min_loss: 0.14078587293624878 	 difference: -0.00016322867436843747 	  com_ac0 	 relative_ac0
0950 	 train_loss:0.18462697213346307 	 test_loss: 0.18441297113895416 	 test_min_loss: 0.14078587293624878 	 difference: -0.00021400099450891163 	  com_ac0 	 relative_ac0
0955 	 train_loss:0.18482535671104083 	 test_loss: 0.18438820540905 	 test_min_loss: 0.14078587293624878 	 difference: -0.00043715130199084573 	  com_ac0 	 relative_ac0
0960 	 train_loss:0.18454212898557837 	 test_loss: 0.18422913551330566 	 test_min_loss: 0.14078587293624878 	 difference: -0.0003129934722727046 	  com_ac0 	 relative_ac0
0965 	 train_loss:0.18478212302381342 	 test_loss: 0.18411719799041748 	 test_min_loss: 0.14078587293624878 	 difference: -0.0006649250333959356 	  com_ac0 	 relative_ac0
0970 	 train_loss:0.1846751015294682 	 test_loss: 0.1842477172613144 	 test_min_loss: 0.14078587293624878 	 difference: -0.0004273842681538076 	  com_ac0 	 relative_ac0
0975 	 train_loss:0.18458858132362366 	 test_loss: 0.18419505655765533 	 test_min_loss: 0.14078587293624878 	 difference: -0.00039352476596832275 	  com_ac0 	 relative_ac0
0980 	 train_loss:0.18480446934700012 	 test_loss: 0.1841975450515747 	 test_min_loss: 0.14078587293624878 	 difference: -0.000606924295425415 	  com_ac0 	 relative_ac0
0985 	 train_loss:0.18458591401576996 	 test_loss: 0.18438899517059326 	 test_min_loss: 0.14078587293624878 	 difference: -0.00019691884517669678 	  com_ac0 	 relative_ac0
0990 	 train_loss:0.18479280444708737 	 test_loss: 0.18422000110149384 	 test_min_loss: 0.14078587293624878 	 difference: -0.0005728033455935366 	  com_ac0 	 relative_ac0
0995 	 train_loss:0.18476443534547632 	 test_loss: 0.1844264715909958 	 test_min_loss: 0.14078587293624878 	 difference: -0.0003379637544805303 	  com_ac0 	 relative_ac0
test_min_loss:  0.14078587

Process finished with exit code 0
